Dates,Song,Artist,Position
January 01,Perfect,Ed Sheeran,1
January 01,Rockstar,Post Malone Featuring 21 Savage,2
January 01,Havana,Camila Cabello Featuring Young Thug,3
January 01,No Limit,G-Eazy Featuring A$AP Rocky ,4
January 01,Thunder,Imagine Dragons,5
January 01,Gucci Gang,Lil Pump,6
January 01,MotorSport,Migos,7
January 01,Too Good At Goodbyes,Sam Smith,8
January 01,Bad At Love,Halsey,9
January 01,Bodak Yellow (Money Moves),Cardi B,10
January 01,Love.,Kendrick Lamar Featuring Zacari,11
January 01,New Rules,Dua Lipa,12
January 01,All I Want For Christmas Is You,Mariah Carey,13
January 01,Bartier Cardi,Cardi B Featuring 21 Savage,14
January 01,Gummo,6ix9ine,15
January 01,I Fall Apart,Post Malone,16
January 01,Let You Down,NF,17
January 01,Young Dumb & Broke,Khalid,18
January 01,Shape Of You,Ed Sheeran,19
January 01,Sorry Not Sorry,Demi Lovato,20
January 01,What Lovers Do,Maroon 5 Featuring SZA,21
January 01,I Get The Bag,Gucci Mane Featuring Migos,22
January 01,Feel It Still,Portugal. The Man,23
January 01,Him & I,G-Eazy ,24
January 01,Believer,Imagine Dragons,25
January 01,Meant To Be,Bebe Rexha ,26
January 01,How Long,Charlie Puth,27
January 01,Bank Account,21 Savage,28
January 01,Wolves,Selena Gomez X Marshmello,29
January 01,Despacito,Luis Fonsi ,30
January 01,Plain Jane,A$AP Ferg Featuring Nicki Minaj,31
January 01,Mi Gente,J Balvin ,32
January 01,The Weekend,SZA,33
January 01,1-800-273-8255,Logic Featuring Alessia Cara ,34
January 01,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,35
January 01,Rockin' Around The Christmas Tree,Brenda Lee,36
January 01,That's What I Like,Bruno Mars,37
January 01,It's The Most Wonderful Time Of The Year,Andy Williams,38
January 01,Attention,Charlie Puth,39
January 01,End Game,Taylor Swift Featuring Ed Sheeran ,40
January 01,Sky Walker,Miguel Featuring Travis Scott,41
January 01,The Christmas Song (Merry Christmas To You),Nat King Cole,42
January 01,River,Eminem Featuring Ed Sheeran,43
January 01,Silence,Marshmello Featuring Khalid,44
January 01,Marry Me,Thomas Rhett,45
January 01,A Holly Jolly Christmas,Burl Ives,46
January 01,Unforgettable,French Montana Featuring Swae Lee,47
January 01,What About Us,P!nk,48
January 01,Lemon,N*E*R*D ,49
January 01,Candy Paint,Post Malone,50
January 01,Roll In Peace,Kodak Black Featuring XXXTENTACION,51
January 01,La Modelo,Ozuna,52
January 01,Ric Flair Drip,Offset ,53
January 01,Lights Down Low,MAX Featuring gnash,54
January 01,Let Me Go,Hailee Steinfeld ,55
January 01,Like I Loved You,Brett Young,56
January 01,Pills And Automobiles,Chris Brown Featuring Yo Gotti,57
January 01,Greatest Love Story,LANCO,58
January 01,Rubbin Off The Paint,YBN Nahmir,59
January 01,Good Old Days,Macklemore Featuring Kesha,60
January 01,...Ready For It?,Taylor Swift,61
January 01,Yours,Russell Dickerson,62
January 01,I'll Name The Dogs,Blake Shelton,63
January 01,The Race,Tay-K,64
January 01,Eye 2 Eye,Huncho Jack Featuring Takeoff,65
January 01,Look What You Made Me Do,Taylor Swift,66
January 01,Kooda,6ix9ine,67
January 01,Modern Slavery,Huncho Jack,68
January 01,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69
January 01,Codeine Dreaming,Kodak Black Featuring Lil Wayne,70
January 01,Black & Chinese,Huncho Jack,71
January 01,Round Here Buzz,Eric Church,72
January 01,Light It Up,Luke Bryan,73
January 01,Echame La Culpa,Luis Fonsi ,74
January 01,Betrayed,Lil Xan,75
January 01,Losing Sleep,Chris Young,76
January 01,No Smoke,YoungBoy Never Broke Again,77
January 01,Tell Me You Love Me,Demi Lovato,78
January 01,You Broke Up With Me,Walker Hayes,79
January 01,Ice Tray,Quavo ,80
January 01,I Could Use A Love Song,Maren Morris,81
January 01,MIC Drop,BTS Featuring Desiigner,82
January 01,Dubai Shit,Huncho Jack Featuring Offset,83
January 01,My Dawg,Lil Baby,84
January 01,Pick It Up,Famous Dex Featuring A$AP Rocky,85
January 01,Written In The Sand,Old Dominion,86
January 01,Huncho Jack,Huncho Jack,87
January 01,Krippy Kush,Farruko,88
January 01,Five More Minutes,Scotty McCreery,89
January 01,Motorcycle Patches,Huncho Jack,90
January 01,Mayores,Becky G Featuring Bad Bunny,91
January 01,Saint,Huncho Jack,92
January 01,Walk On Water,Eminem Featuring Beyonce,93
January 01,Stir Fry,Migos,94
January 01,Home,Machine Gun Kelly,95
January 01,F**k Love,XXXTENTACION Featuring Trippie Redd,96
January 01,Legends,Kelsea Ballerini,97
January 01,Too Much To Ask,Niall Horan,98
January 01,Dusk Till Dawn,Zayn Featuring Sia,99
January 01,Juice,Yo Gotti,100
January 08,Perfect,Ed Sheeran,1
January 08,Havana,Camila Cabello Featuring Young Thug,2
January 08,Rockstar,Post Malone Featuring 21 Savage,3
January 08,Thunder,Imagine Dragons,4
January 08,No Limit,G-Eazy Featuring A$AP Rocky ,5
January 08,Bad At Love,Halsey,6
January 08,Too Good At Goodbyes,Sam Smith,7
January 08,MotorSport,Migos,8
January 08,Gucci Gang,Lil Pump,9
January 08,Bodak Yellow (Money Moves),Cardi B,10
January 08,New Rules,Dua Lipa,11
January 08,Feel It Still,Portugal. The Man,12
January 08,Shape Of You,Ed Sheeran,13
January 08,Love.,Kendrick Lamar Featuring Zacari,14
January 08,Sorry Not Sorry,Demi Lovato,15
January 08,Believer,Imagine Dragons,16
January 08,Him & I,G-Eazy ,17
January 08,Let You Down,NF,18
January 08,Bartier Cardi,Cardi B Featuring 21 Savage,19
January 08,Gummo,6ix9ine,20
January 08,What Lovers Do,Maroon 5 Featuring SZA,21
January 08,Young Dumb & Broke,Khalid,22
January 08,I Fall Apart,Post Malone,23
January 08,Meant To Be,Bebe Rexha ,24
January 08,Despacito,Luis Fonsi ,25
January 08,I Get The Bag,Gucci Mane Featuring Migos,26
January 08,How Long,Charlie Puth,27
January 08,Wolves,Selena Gomez X Marshmello,28
January 08,Bank Account,21 Savage,29
January 08,Mi Gente,J Balvin ,30
January 08,Plain Jane,A$AP Ferg Featuring Nicki Minaj,31
January 08,That's What I Like,Bruno Mars,32
January 08,1-800-273-8255,Logic Featuring Alessia Cara ,33
January 08,Attention,Charlie Puth,34
January 08,Finesse,Bruno Mars ,35
January 08,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,36
January 08,The Weekend,SZA,37
January 08,Sky Walker,Miguel Featuring Travis Scott,38
January 08,End Game,Taylor Swift Featuring Ed Sheeran ,39
January 08,Let Me Go,Hailee Steinfeld ,40
January 08,Silence,Marshmello Featuring Khalid,41
January 08,Unforgettable,French Montana Featuring Swae Lee,42
January 08,What About Us,P!nk,43
January 08,Marry Me,Thomas Rhett,44
January 08,River,Eminem Featuring Ed Sheeran,45
January 08,Like I Loved You,Brett Young,46
January 08,Roll In Peace,Kodak Black Featuring XXXTENTACION,47
January 08,Lemon,N*E*R*D ,48
January 08,Ric Flair Drip,Offset ,49
January 08,Lights Down Low,MAX Featuring gnash,50
January 08,Pills And Automobiles,Chris Brown Featuring Yo Gotti,51
January 08,Yours,Russell Dickerson,52
January 08,Greatest Love Story,LANCO,53
January 08,Good Old Days,Macklemore Featuring Kesha,54
January 08,Look What You Made Me Do,Taylor Swift,55
January 08,I'll Name The Dogs,Blake Shelton,56
January 08,Round Here Buzz,Eric Church,57
January 08,...Ready For It?,Taylor Swift,58
January 08,Candy Paint,Post Malone,59
January 08,Rubbin Off The Paint,YBN Nahmir,60
January 08,La Modelo,Ozuna,61
January 08,I Could Use A Love Song,Maren Morris,62
January 08,Losing Sleep,Chris Young,63
January 08,Echame La Culpa,Luis Fonsi ,64
January 08,Codeine Dreaming,Kodak Black Featuring Lil Wayne,65
January 08,MIC Drop,BTS Featuring Desiigner,66
January 08,You Broke Up With Me,Walker Hayes,67
January 08,Kooda,6ix9ine,68
January 08,Light It Up,Luke Bryan,69
January 08,Written In The Sand,Old Dominion,70
January 08,Never Be The Same,Camila Cabello,71
January 08,Tell Me You Love Me,Demi Lovato,72
January 08,No Smoke,YoungBoy Never Broke Again,73
January 08,Ice Tray,Quavo ,74
January 08,Krippy Kush,Farruko,75
January 08,Betrayed,Lil Xan,76
January 08,Pick It Up,Famous Dex Featuring A$AP Rocky,77
January 08,Five More Minutes,Scotty McCreery,78
January 08,Legends,Kelsea Ballerini,79
January 08,One Foot,WALK THE MOON,80
January 08,Mayores,Becky G Featuring Bad Bunny,81
January 08,Heaven,Kane Brown,82
January 08,This Is Me,Keala Settle ,83
January 08,My Dawg,Lil Baby,84
January 08,Rewrite The Stars,Zac Efron ,85
January 08,Too Much To Ask,Niall Horan,86
January 08,All On Me,Devin Dawson,87
January 08,Never Enough,Loren Allred,88
January 08,Stir Fry,Migos,89
January 08,Juice,Yo Gotti,90
January 08,Broken Halos,Chris Stapleton,91
January 08,Corazon,Maluma X Nego do Borel,92
January 08,Female,Keith Urban,93
January 08,Dusk Till Dawn,Zayn Featuring Sia,94
January 08,The Greatest Show,Hugh Jackman,95
January 08,When We,Tank,96
January 08,Wanted You,NAV Featuring Lil Uzi Vert,97
January 08,F**k Love,XXXTENTACION Featuring Trippie Redd,98
January 08,Home,Machine Gun Kelly,99
January 08,Best Friend,Sofi Tukker Featuring NERVO,100
January 15,Perfect,Ed Sheeran,1
January 15,Havana,Camila Cabello Featuring Young Thug,2
January 15,Finesse,Bruno Mars ,3
January 15,Rockstar,Post Malone Featuring 21 Savage,4
January 15,No Limit,G-Eazy Featuring A$AP Rocky ,5
January 15,Thunder,Imagine Dragons,6
January 15,Bad At Love,Halsey,7
January 15,Too Good At Goodbyes,Sam Smith,8
January 15,Filthy,Justin Timberlake,9
January 15,MotorSport,Migos,10
January 15,New Rules,Dua Lipa,11
January 15,Gucci Gang,Lil Pump,12
January 15,Love.,Kendrick Lamar Featuring Zacari,13
January 15,Bartier Cardi,Cardi B Featuring 21 Savage,14
January 15,Let You Down,NF,15
January 15,Him & I,G-Eazy ,16
January 15,Bodak Yellow (Money Moves),Cardi B,17
January 15,Meant To Be,Bebe Rexha ,18
January 15,Gummo,6ix9ine,19
January 15,Feel It Still,Portugal. The Man,20
January 15,Sorry Not Sorry,Demi Lovato,21
January 15,Shape Of You,Ed Sheeran,22
January 15,How Long,Charlie Puth,23
January 15,Wolves,Selena Gomez X Marshmello,24
January 15,I Get The Bag,Gucci Mane Featuring Migos,25
January 15,I Fall Apart,Post Malone,26
January 15,What Lovers Do,Maroon 5 Featuring SZA,27
January 15,Young Dumb & Broke,Khalid,28
January 15,Plain Jane,A$AP Ferg Featuring Nicki Minaj,29
January 15,Believer,Imagine Dragons,30
January 15,Sky Walker,Miguel Featuring Travis Scott,31
January 15,River,Eminem Featuring Ed Sheeran,32
January 15,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,33
January 15,Despacito,Luis Fonsi ,34
January 15,Mi Gente,J Balvin ,35
January 15,End Game,Taylor Swift Featuring Ed Sheeran ,36
January 15,Bank Account,21 Savage,37
January 15,That's What I Like,Bruno Mars,38
January 15,Marry Me,Thomas Rhett,39
January 15,Let Me Go,Hailee Steinfeld ,40
January 15,Attention,Charlie Puth,41
January 15,The Weekend,SZA,42
January 15,All The Stars,Kendrick Lamar ,43
January 15,1-800-273-8255,Logic Featuring Alessia Cara ,44
January 15,Roll In Peace,Kodak Black Featuring XXXTENTACION,45
January 15,Silence,Marshmello Featuring Khalid,46
January 15,Lights Down Low,MAX Featuring gnash,47
January 15,Ric Flair Drip,Offset ,48
January 15,Unforgettable,French Montana Featuring Swae Lee,49
January 15,Lemon,N*E*R*D ,50
January 15,Like I Loved You,Brett Young,51
January 15,Yours,Russell Dickerson,52
January 15,Pills And Automobiles,Chris Brown Featuring Yo Gotti,53
January 15,Good Old Days,Macklemore Featuring Kesha,54
January 15,Tell Me You Love Me,Demi Lovato,55
January 15,I Could Use A Love Song,Maren Morris,56
January 15,Round Here Buzz,Eric Church,57
January 15,Codeine Dreaming,Kodak Black Featuring Lil Wayne,58
January 15,La Modelo,Ozuna,59
January 15,Echame La Culpa,Luis Fonsi ,60
January 15,Greatest Love Story,LANCO,61
January 15,Rubbin Off The Paint,YBN Nahmir,62
January 15,Losing Sleep,Chris Young,63
January 15,This Is Me,Keala Settle ,64
January 15,Never Be The Same,Camila Cabello,65
January 15,I'll Name The Dogs,Blake Shelton,66
January 15,Candy Paint,Post Malone,67
January 15,You Broke Up With Me,Walker Hayes,68
January 15,Written In The Sand,Old Dominion,69
January 15,Heaven,Kane Brown,70
January 15,Pick It Up,Famous Dex Featuring A$AP Rocky,71
January 15,Stir Fry,Migos,72
January 15,Kooda,6ix9ine,73
January 15,MIC Drop,BTS Featuring Desiigner,74
January 15,No Smoke,YoungBoy Never Broke Again,75
January 15,Betrayed,Lil Xan,76
January 15,Five More Minutes,Scotty McCreery,77
January 15,Rewrite The Stars,Zac Efron ,78
January 15,Ice Tray,Quavo ,79
January 15,...Ready For It?,Taylor Swift,80
January 15,All On Me,Devin Dawson,81
January 15,For You (Fifty Shades Freed),Liam Payne ,82
January 15,Legends,Kelsea Ballerini,83
January 15,One Foot,WALK THE MOON,84
January 15,Nowadays,Lil Skies Featuring Landon Cube,85
January 15,Best Friend,Sofi Tukker Featuring NERVO,86
January 15,My Dawg,Lil Baby,87
January 15,The Greatest Show,Hugh Jackman,88
January 15,Krippy Kush,Farruko,89
January 15,Corazon,Maluma X Nego do Borel,90
January 15,Broken Halos,Chris Stapleton,91
January 15,I Miss You,Clean Bandit Featuring Julia Michaels,92
January 15,Too Much To Ask,Niall Horan,93
January 15,Mayores,Becky G Featuring Bad Bunny,94
January 15,Beautiful Trauma,P!nk,95
January 15,Female,Keith Urban,96
January 15,Home,Machine Gun Kelly,97
January 15,Red Roses,Lil Skies Featuring Landon Cube,98
January 15,Never Enough,Loren Allred,99
January 15,Juice,Yo Gotti,100
January 22,Havana,Camila Cabello Featuring Young Thug,1
January 22,Perfect,Ed Sheeran,2
January 22,Rockstar,Post Malone Featuring 21 Savage,3
January 22,Finesse,Bruno Mars ,4
January 22,Bad At Love,Halsey,5
January 22,Thunder,Imagine Dragons,6
January 22,No Limit,G-Eazy Featuring A$AP Rocky ,7
January 22,New Rules,Dua Lipa,8
January 22,Too Good At Goodbyes,Sam Smith,9
January 22,MotorSport,Migos,10
January 22,Gucci Gang,Lil Pump,11
January 22,Love.,Kendrick Lamar Featuring Zacari,12
January 22,Gummo,6ix9ine,13
January 22,Let You Down,NF,14
January 22,Him & I,G-Eazy ,15
January 22,Bartier Cardi,Cardi B Featuring 21 Savage,16
January 22,Meant To Be,Bebe Rexha ,17
January 22,End Game,Taylor Swift Featuring Ed Sheeran ,18
January 22,Bodak Yellow (Money Moves),Cardi B,19
January 22,I Fall Apart,Post Malone,20
January 22,Shape Of You,Ed Sheeran,21
January 22,How Long,Charlie Puth,22
January 22,Feel It Still,Portugal. The Man,23
January 22,I Get The Bag,Gucci Mane Featuring Migos,24
January 22,Wolves,Selena Gomez X Marshmello,25
January 22,Believer,Imagine Dragons,26
January 22,Plain Jane,A$AP Ferg Featuring Nicki Minaj,27
January 22,Sorry Not Sorry,Demi Lovato,28
January 22,Filthy,Justin Timberlake,29
January 22,Never Be The Same,Camila Cabello,30
January 22,What Lovers Do,Maroon 5 Featuring SZA,31
January 22,Young Dumb & Broke,Khalid,32
January 22,Sky Walker,Miguel Featuring Travis Scott,33
January 22,River,Eminem Featuring Ed Sheeran,34
January 22,Marry Me,Thomas Rhett,35
January 22,Roll In Peace,Kodak Black Featuring XXXTENTACION,36
January 22,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,37
January 22,Bank Account,21 Savage,38
January 22,Mi Gente,J Balvin ,39
January 22,Lemon,N*E*R*D ,40
January 22,Lights Down Low,MAX Featuring gnash,41
January 22,Let Me Go,Hailee Steinfeld ,42
January 22,Ric Flair Drip,Offset ,43
January 22,Attention,Charlie Puth,44
January 22,1-800-273-8255,Logic Featuring Alessia Cara ,45
January 22,The Weekend,SZA,46
January 22,The Champion,Carrie Underwood Featuring Ludacris,47
January 22,Unforgettable,French Montana Featuring Swae Lee,48
January 22,Yours,Russell Dickerson,49
January 22,Silence,Marshmello Featuring Khalid,50
January 22,Pills And Automobiles,Chris Brown Featuring Yo Gotti,51
January 22,Like I Loved You,Brett Young,52
January 22,All The Stars,Kendrick Lamar ,53
January 22,Good Old Days,Macklemore Featuring Kesha,54
January 22,Nowadays,Lil Skies Featuring Landon Cube,55
January 22,Round Here Buzz,Eric Church,56
January 22,Echame La Culpa,Luis Fonsi ,57
January 22,This Is Me,Keala Settle ,58
January 22,Written In The Sand,Old Dominion,59
January 22,Stir Fry,Migos,60
January 22,Losing Sleep,Chris Young,61
January 22,Rubbin Off The Paint,YBN Nahmir,62
January 22,Codeine Dreaming,Kodak Black Featuring Lil Wayne,63
January 22,KEKE,6ix9ine,64
January 22,Greatest Love Story,LANCO,65
January 22,Pick It Up,Famous Dex Featuring A$AP Rocky,66
January 22,La Modelo,Ozuna,67
January 22,You Broke Up With Me,Walker Hayes,68
January 22,Red Roses,Lil Skies Featuring Landon Cube,69
January 22,Rewrite The Stars,Zac Efron ,70
January 22,Outside Today,YoungBoy Never Broke Again,71
January 22,Tell Me You Love Me,Demi Lovato,72
January 22,Kooda,6ix9ine,73
January 22,Candy Paint,Post Malone,74
January 22,Betrayed,Lil Xan,75
January 22,Heaven,Kane Brown,76
January 22,One Foot,WALK THE MOON,77
January 22,No Smoke,YoungBoy Never Broke Again,78
January 22,MIC Drop,BTS Featuring Desiigner,79
January 22,My My My!,Troye Sivan,80
January 22,Best Friend,Sofi Tukker Featuring NERVO,81
January 22,I'll Name The Dogs,Blake Shelton,82
January 22,Five More Minutes,Scotty McCreery,83
January 22,Tequila,Dan + Shay,84
January 22,Legends,Kelsea Ballerini,85
January 22,Ice Tray,Quavo ,86
January 22,Corazon,Maluma X Nego do Borel,87
January 22,All On Me,Devin Dawson,88
January 22,The Greatest Show,Hugh Jackman,89
January 22,My Dawg,Lil Baby,90
January 22,King's Dead,Jay Rock,91
January 22,IDGAF,Dua Lipa,92
January 22,Mayores,Becky G Featuring Bad Bunny,93
January 22,Broken Halos,Chris Stapleton,94
January 22,Krippy Kush,Farruko,95
January 22,...Ready For It?,Taylor Swift,96
January 22,Never Enough,Loren Allred,97
January 22,El Bano,Enrique Iglesias Featuring Bad Bunny,98
January 22,Beautiful Trauma,P!nk,99
January 22,Female,Keith Urban,100
January 29,God's Plan,Drake,1
January 29,Perfect,Ed Sheeran,2
January 29,Havana,Camila Cabello Featuring Young Thug,3
January 29,Rockstar,Post Malone Featuring 21 Savage,4
January 29,Finesse,Bruno Mars ,5
January 29,Bad At Love,Halsey,6
January 29,Diplomatic Immunity,Drake,7
January 29,New Rules,Dua Lipa,8
January 29,Thunder,Imagine Dragons,9
January 29,No Limit,G-Eazy Featuring A$AP Rocky ,10
January 29,MotorSport,Migos,11
January 29,Meant To Be,Bebe Rexha ,12
January 29,Too Good At Goodbyes,Sam Smith,13
January 29,Let You Down,NF,14
January 29,Love.,Kendrick Lamar Featuring Zacari,15
January 29,Him & I,G-Eazy ,16
January 29,Gucci Gang,Lil Pump,17
January 29,Gummo,6ix9ine,18
January 29,I Fall Apart,Post Malone,19
January 29,Bartier Cardi,Cardi B Featuring 21 Savage,20
January 29,How Long,Charlie Puth,21
January 29,Shape Of You,Ed Sheeran,22
January 29,Bodak Yellow (Money Moves),Cardi B,23
January 29,I Get The Bag,Gucci Mane Featuring Migos,24
January 29,Feel It Still,Portugal. The Man,25
January 29,Wolves,Selena Gomez X Marshmello,26
January 29,Plain Jane,A$AP Ferg Featuring Nicki Minaj,27
January 29,Believer,Imagine Dragons,28
January 29,Sky Walker,Miguel Featuring Travis Scott,29
January 29,End Game,Taylor Swift Featuring Ed Sheeran ,30
January 29,Roll In Peace,Kodak Black Featuring XXXTENTACION,31
January 29,Sorry Not Sorry,Demi Lovato,32
January 29,Filthy,Justin Timberlake,33
January 29,River,Eminem Featuring Ed Sheeran,34
January 29,Young Dumb & Broke,Khalid,35
January 29,Marry Me,Thomas Rhett,36
January 29,Never Be The Same,Camila Cabello,37
January 29,Lights Down Low,MAX Featuring gnash,38
January 29,Ric Flair Drip,Offset ,39
January 29,Lemon,N*E*R*D ,40
January 29,What Lovers Do,Maroon 5 Featuring SZA,41
January 29,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,42
January 29,KEKE,6ix9ine,43
January 29,Mi Gente,J Balvin ,44
January 29,Let Me Go,Hailee Steinfeld ,45
January 29,1-800-273-8255,Logic Featuring Alessia Cara ,46
January 29,Bank Account,21 Savage,47
January 29,Attention,Charlie Puth,48
January 29,Yours,Russell Dickerson,49
January 29,Unforgettable,French Montana Featuring Swae Lee,50
January 29,Outside Today,YoungBoy Never Broke Again,51
January 29,Stir Fry,Migos,52
January 29,Pills And Automobiles,Chris Brown Featuring Yo Gotti,53
January 29,All The Stars,Kendrick Lamar ,54
January 29,Good Old Days,Macklemore Featuring Kesha,55
January 29,Mine,Bazzi,56
January 29,Nowadays,Lil Skies Featuring Landon Cube,57
January 29,Pick It Up,Famous Dex Featuring A$AP Rocky,58
January 29,Greatest Love Story,LANCO,59
January 29,Written In The Sand,Old Dominion,60
January 29,No Smoke,YoungBoy Never Broke Again,61
January 29,Losing Sleep,Chris Young,62
January 29,Like I Loved You,Brett Young,63
January 29,Five More Minutes,Scotty McCreery,64
January 29,Sick Boy,The Chainsmokers,65
January 29,This Is Me,Keala Settle ,66
January 29,Heaven,Kane Brown,67
January 29,Echame La Culpa,Luis Fonsi ,68
January 29,Rubbin Off The Paint,YBN Nahmir,69
January 29,You Broke Up With Me,Walker Hayes,70
January 29,Supplies,Justin Timberlake,71
January 29,Codeine Dreaming,Kodak Black Featuring Lil Wayne,72
January 29,Betrayed,Lil Xan,73
January 29,Red Roses,Lil Skies Featuring Landon Cube,74
January 29,One Foot,WALK THE MOON,75
January 29,La Modelo,Ozuna,76
January 29,Rewrite The Stars,Zac Efron ,77
January 29,Candy Paint,Post Malone,78
January 29,Tell Me You Love Me,Demi Lovato,79
January 29,Round Here Buzz,Eric Church,80
January 29,All On Me,Devin Dawson,81
January 29,No Name,NF,82
January 29,King's Dead,Jay Rock,83
January 29,MIC Drop,BTS Featuring Desiigner,84
January 29,Broken Halos,Chris Stapleton,85
January 29,Kooda,6ix9ine,86
January 29,Legends,Kelsea Ballerini,87
January 29,Wait,Maroon 5,88
January 29,Best Friend,Sofi Tukker Featuring NERVO,89
January 29,Ice Tray,Quavo ,90
January 29,Beautiful Trauma,P!nk,91
January 29,IDGAF,Dua Lipa,92
January 29,Corazon,Maluma X Nego do Borel,93
January 29,Mayores,Becky G Featuring Bad Bunny,94
January 29,The Greatest Show,Hugh Jackman,95
January 29,Never Enough,Loren Allred,96
January 29,My Dawg,Lil Baby,97
January 29,I'll Name The Dogs,Blake Shelton,98
January 29,Rock,Plies,99
January 29,Female,Keith Urban,100
February 05,God's Plan,Drake,1
February 05,Perfect,Ed Sheeran,2
February 05,Finesse,Bruno Mars ,3
February 05,Havana,Camila Cabello Featuring Young Thug,4
February 05,Rockstar,Post Malone Featuring 21 Savage,5
February 05,Bad At Love,Halsey,6
February 05,New Rules,Dua Lipa,7
February 05,MotorSport,Migos,8
February 05,Say Something,Justin Timberlake Featuring Chris Stapleton,9
February 05,Thunder,Imagine Dragons,10
February 05,Meant To Be,Bebe Rexha ,11
February 05,Stir Fry,Migos,12
February 05,No Limit,G-Eazy Featuring A$AP Rocky ,13
February 05,Let You Down,NF,14
February 05,Love.,Kendrick Lamar Featuring Zacari,15
February 05,Him & I,G-Eazy ,16
February 05,I Fall Apart,Post Malone,17
February 05,Walk It Talk It,Migos Featuring Drake,18
February 05,Bartier Cardi,Cardi B Featuring 21 Savage,19
February 05,Too Good At Goodbyes,Sam Smith,20
February 05,How Long,Charlie Puth,21
February 05,Shape Of You,Ed Sheeran,22
February 05,The Middle,Zedd,23
February 05,Gummo,6ix9ine,24
February 05,Bodak Yellow (Money Moves),Cardi B,25
February 05,Gucci Gang,Lil Pump,26
February 05,Feel It Still,Portugal. The Man,27
February 05,You Make It Easy,Jason Aldean,28
February 05,Believer,Imagine Dragons,29
February 05,Wolves,Selena Gomez X Marshmello,30
February 05,Sky Walker,Miguel Featuring Travis Scott,31
February 05,Never Be The Same,Camila Cabello,32
February 05,1-800-273-8255,Logic Featuring Alessia Cara ,33
February 05,Plain Jane,A$AP Ferg Featuring Nicki Minaj,34
February 05,Young Dumb & Broke,Khalid,35
February 05,Narcos,Migos,36
February 05,I Get The Bag,Gucci Mane Featuring Migos,37
February 05,Lights Down Low,MAX Featuring gnash,38
February 05,Marry Me,Thomas Rhett,39
February 05,Roll In Peace,Kodak Black Featuring XXXTENTACION,40
February 05,Mine,Bazzi,41
February 05,Sorry Not Sorry,Demi Lovato,42
February 05,End Game,Taylor Swift Featuring Ed Sheeran ,43
February 05,River,Eminem Featuring Ed Sheeran,44
February 05,Outside Today,YoungBoy Never Broke Again,45
February 05,Ric Flair Drip,Offset ,46
February 05,Lemon,N*E*R*D ,47
February 05,BBO (Bad Bitches Only),Migos Featuring 21 Savage,48
February 05,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,49
February 05,Let Me Go,Hailee Steinfeld ,50
February 05,Filthy,Justin Timberlake,51
February 05,Notice Me,Migos Featuring Post Malone,52
February 05,Supastars,Migos,53
February 05,All The Stars,Kendrick Lamar ,54
February 05,Diplomatic Immunity,Drake,55
February 05,Wait,Maroon 5,56
February 05,Yours,Russell Dickerson,57
February 05,Written In The Sand,Old Dominion,58
February 05,Good Old Days,Macklemore Featuring Kesha,59
February 05,Losing Sleep,Chris Young,60
February 05,Five More Minutes,Scotty McCreery,61
February 05,Broken Halos,Chris Stapleton,62
February 05,KEKE,6ix9ine,63
February 05,White Sand,Migos Featuring Travis Scott,64
February 05,Betrayed,Lil Xan,65
February 05,Pick It Up,Famous Dex Featuring A$AP Rocky,66
February 05,Heaven,Kane Brown,67
February 05,Nowadays,Lil Skies Featuring Landon Cube,68
February 05,You Broke Up With Me,Walker Hayes,69
February 05,Like I Loved You,Brett Young,70
February 05,This Is Me,Keala Settle ,71
February 05,Echame La Culpa,Luis Fonsi ,72
February 05,Gang Gang,Migos,73
February 05,One Foot,WALK THE MOON,74
February 05,New Freezer,Rich The Kid Featuring Kendrick Lamar,75
February 05,All On Me,Devin Dawson,76
February 05,No Smoke,YoungBoy Never Broke Again,77
February 05,Tell Me You Love Me,Demi Lovato,78
February 05,La Modelo,Ozuna,79
February 05,Red Roses,Lil Skies Featuring Landon Cube,80
February 05,Rewrite The Stars,Zac Efron ,81
February 05,Candy Paint,Post Malone,82
February 05,Higher We Go (Intro),Migos,83
February 05,Legends,Kelsea Ballerini,84
February 05,Auto Pilot,Migos,85
February 05,Codeine Dreaming,Kodak Black Featuring Lil Wayne,86
February 05,Emoji A Chain,Migos,87
February 05,Beautiful Trauma,P!nk,88
February 05,Round Here Buzz,Eric Church,89
February 05,Sick Boy,The Chainsmokers,90
February 05,Rubbin Off The Paint,YBN Nahmir,91
February 05,El Farsante,Ozuna ,92
February 05,IDGAF,Dua Lipa,93
February 05,Most People Are Good,Luke Bryan,94
February 05,Mayores,Becky G Featuring Bad Bunny,95
February 05,CC,Migos Featuring Gucci Mane,96
February 05,Best Friend,Sofi Tukker Featuring NERVO,97
February 05,MIC Drop,BTS Featuring Desiigner,98
February 05,King's Dead,Jay Rock,99
February 05,Corazon,Maluma X Nego do Borel,100
February 12,God's Plan,Drake,1
February 12,Perfect,Ed Sheeran,2
February 12,Finesse,Bruno Mars ,3
